,x_input
0,"[20.50147247, 16.35793304, 12.86226368, 20.50147247, 10.85316372, 16.35793304, 16.35793304, 20.50147247, 30.58232117, 10.85316372, 20.50147247, 12.86226368, 20.50147247, 25.40196991, 12.86226368, 20.50147247, 25.40196991, 20.50147247, 20.50147247, 16.35793304, 25.40196991, 20.50147247, 30.58232117, 25.40196991, 25.40196991]"
1,"[16.35793304, 16.35793304, 12.86226368, 20.50147247, 10.85316372, 16.35793304, 20.50147247, 20.50147247, 34.56784439, 30.58232117, 20.50147247, 12.86226368, 16.35793304, 30.58232117, 12.86226368, 20.50147247, 25.40196991, 20.50147247, 20.50147247, 16.35793304, 25.40196991, 20.50147247, 30.58232117, 20.50147247, 25.40196991]"
2,"[16.35793304, 16.35793304, 16.35793304, 20.50147247, 10.85316372, 16.35793304, 16.35793304, 20.50147247, 30.58232117, 30.58232117, 20.50147247, 12.86226368, 16.35793304, 25.40196991, 16.35793304, 25.40196991, 25.40196991, 16.35793304, 20.50147247, 16.35793304, 25.40196991, 20.50147247, 25.40196991, 20.50147247, 25.40196991]"
3,"[16.35793304, 16.35793304, 12.86226368, 20.50147247, 36.45310974, 16.35793304, 16.35793304, 20.50147247, 10.85316372, 10.85316372, 20.50147247, 12.86226368, 16.35793304, 30.58232117, 12.86226368, 20.50147247, 25.40196991, 16.35793304, 20.50147247, 16.35793304, 20.50147247, 20.50147247, 16.35793304, 16.35793304, 30.58232117]"
4,"[16.35793304, 16.35793304, 12.86226368, 20.50147247, 34.56784439, 16.35793304, 16.35793304, 20.50147247, 10.85316372, 10.85316372, 16.35793304, 12.86226368, 20.50147247, 30.58232117, 12.86226368, 20.50147247, 30.58232117, 16.35793304, 25.40196991, 16.35793304, 25.40196991, 20.50147247, 25.40196991, 20.50147247, 25.40196991]"
5,"[16.35793304, 16.35793304, 12.86226368, 25.40196991, 34.56784439, 16.35793304, 16.35793304, 20.50147247, 10.85316372, 30.58232117, 20.50147247, 12.86226368, 20.50147247, 30.58232117, 12.86226368, 20.50147247, 25.40196991, 20.50147247, 25.40196991, 16.35793304, 25.40196991, 20.50147247, 25.40196991, 20.50147247, 25.40196991]"
6,"[20.50147247, 16.35793304, 12.86226368, 25.40196991, 10.85316372, 16.35793304, 16.35793304, 20.50147247, 10.85316372, 30.58232117, 20.50147247, 12.86226368, 20.50147247, 25.40196991, 12.86226368, 20.50147247, 25.40196991, 20.50147247, 25.40196991, 16.35793304, 25.40196991, 20.50147247, 25.40196991, 20.50147247, 30.58232117]"
7,"[20.50147247, 16.35793304, 12.86226368, 20.50147247, 10.85316372, 16.35793304, 16.35793304, 20.50147247, 34.56784439, 30.58232117, 20.50147247, 12.86226368, 20.50147247, 25.40196991, 12.86226368, 20.50147247, 25.40196991, 20.50147247, 20.50147247, 16.35793304, 25.40196991, 20.50147247, 25.40196991, 20.50147247, 25.40196991]"
8,"[20.50147247, 16.35793304, 16.35793304, 25.40196991, 20.50147247, 16.35793304, 20.50147247, 20.50147247, 34.56784439, 10.85316372, 25.40196991, 16.35793304, 20.50147247, 25.40196991, 16.35793304, 10.85316372, 30.58232117, 20.50147247, 20.50147247, 20.50147247, 30.58232117, 20.50147247, 30.58232117, 20.50147247, 25.40196991]"
9,"[20.50147247, 20.50147247, 20.50147247, 25.40196991, 20.50147247, 16.35793304, 16.35793304, 20.50147247, 34.56784439, 10.85316372, 20.50147247, 20.50147247, 20.50147247, 30.58232117, 16.35793304, 25.40196991, 10.85316372, 25.40196991, 20.50147247, 20.50147247, 30.58232117, 20.50147247, 10.85316372, 20.50147247, 30.58232117]"
