,x_input
0,"[22.0, 27.0, 28.0, 22.0, 33.0, 21.0, 26.00000191, 26.00000191, 32.0, 22.0, 24.0, 26.00000191, 27.0, 32.0, 35.0, 31.0]"
1,"[21.0, 28.0, 26.00000191, 20.0, 35.0, 25.0, 28.0, 29.0, 36.00000381, 23.00000191, 21.0, 28.0, 26.00000191, 37.0, 37.0, 29.0]"
2,"[23.00000191, 31.0, 26.00000191, 20.0, 33.0, 26.00000191, 28.0, 25.0, 32.0, 23.00000191, 23.00000191, 24.0, 26.00000191, 32.0, 34.0, 30.00000191]"
3,"[26.00000191, 33.0, 33.0, 25.0, 29.0, 27.0, 29.0, 26.00000191, 32.0, 28.0, 20.0, 24.0, 27.0, 36.00000381, 30.00000191, 27.0]"
4,"[25.0, 32.0, 31.0, 25.0, 34.0, 23.00000191, 37.0, 27.0, 36.00000381, 25.0, 24.0, 24.0, 29.0, 33.0, 34.0, 29.0]"
5,"[27.0, 30.00000191, 30.00000191, 26.00000191, 36.00000381, 18.00000191, 34.0, 27.0, 33.0, 28.0, 21.0, 29.0, 28.0, 36.00000381, 27.0, 23.00000191]"
6,"[23.00000191, 24.0, 24.0, 20.0, 25.0, 16.0, 30.00000191, 30.00000191, 33.0, 28.0, 27.0, 31.0, 31.0, 36.00000381, 27.0, 24.0]"
7,"[25.0, 22.0, 27.0, 20.0, 27.0, 18.00000191, 44.0, 31.0, 37.0, 29.0, 21.0, 34.0, 33.0, 40.0, 30.00000191, 25.0]"
8,"[25.0, 25.0, 24.0, 20.0, 28.0, 14.0, 35.0, 40.0, 36.00000381, 30.00000191, 19.0, 37.0, 36.00000381, 36.00000381, 29.0, 28.0]"
9,"[20.0, 23.00000191, 19.0, 20.0, 18.00000191, 19.0, 35.0, 39.0, 36.00000381, 34.0, 30.00000191, 41.0, 29.0, 29.0, 32.0, 27.0]"
10,"[17.0, 22.0, 22.0, 20.0, 22.0, 19.0, 27.0, 35.0, 41.0, 32.0, 22.0, 36.00000381, 24.0, 26.00000191, 31.0, 27.0]"
11,"[24.0, 24.0, 25.0, 27.0, 27.0, 20.0, 23.00000191, 26.00000191, 32.0, 32.0, 17.0, 31.0, 21.0, 31.0, 32.0, 27.0]"
12,"[26.00000191, 30.00000191, 29.0, 27.0, 31.0, 19.0, 28.0, 29.0, 33.0, 30.00000191, 22.0, 29.0, 31.0, 31.0, 30.00000191, 26.00000191]"
13,"[27.0, 30.00000191, 29.0, 27.0, 24.0, 16.0, 33.0, 27.0, 34.0, 27.0, 20.0, 36.00000381, 24.0, 31.0, 27.0, 21.0]"
14,"[21.0, 25.0, 23.00000191, 26.00000191, 26.00000191, 13.00000095, 29.0, 23.00000191, 26.00000191, 25.0, 19.0, 31.0, 24.0, 31.0, 23.00000191, 22.0]"
15,"[19.0, 25.0, 22.0, 23.00000191, 22.0, 17.0, 28.0, 18.00000191, 25.0, 24.0, 19.0, 31.0, 23.00000191, 32.0, 26.00000191, 21.0]"
16,"[21.0, 23.00000191, 21.0, 23.00000191, 23.00000191, 11.0, 24.0, 21.0, 23.00000191, 22.0, 21.0, 26.00000191, 16.0, 30.00000191, 23.00000191, 21.0]"
17,"[19.0, 21.0, 18.00000191, 28.0, 21.0, 11.0, 27.0, 15.00000095, 21.0, 24.0, 9.00000095, 29.0, 16.0, 27.0, 20.0, 20.0]"
18,"[18.00000191, 21.0, 18.00000191, 28.0, 18.00000191, 11.0, 26.00000191, 17.0, 19.0, 21.0, 17.0, 21.0, 13.00000095, 23.00000191, 20.0, 19.0]"
